Date,"Albany County, WY","Big Horn County, WY","Campbell County, WY","Carbon County, WY","Converse County, WY","Crook County, WY","Fremont County, WY","Goshen County, WY","Hot Springs County, WY","Johnson County, WY","Laramie County, WY","Lincoln County, WY","Natrona County, WY","Niobrara County, WY","Park County, WY","Platte County, WY","Sheridan County, WY","Sublette County, WY","Sweetwater County, WY","Teton County, WY","Uinta County, WY","Washakie County, WY","Weston County, WY"
04/2014,3.1,4.6,3.3,4.1,2.9,4.3,5.0,3.7,4.3,4.9,4.2,5.8,3.9,3.2,4.8,3.4,4.8,4.6,3.9,8.0,5.1,4.4,3.4
04/2015,2.7,4.3,3.7,3.8,3.4,3.5,5.2,3.3,4.7,5.5,3.6,4.8,4.7,2.6,4.5,3.4,4.1,5.7,4.5,6.9,5.2,4.3,3.6
04/2016,3.1,5.6,8.4,5.3,6.9,5.3,7.7,3.6,5.1,6.2,4.1,5.5,7.7,3.2,5.2,5.1,4.9,8.1,6.6,6.6,6.4,5.3,6.0
04/2017,2.5,4.2,4.9,4.1,4.2,3.7,5.5,2.6,3.9,4.3,3.4,4.0,5.3,2.7,4.4,3.6,3.8,4.6,4.4,4.9,4.5,4.5,4.0
05/1990,5.3,5.3,5.0,4.9,5.3,2.5,7.0,4.3,3.4,3.9,4.6,5.5,5.9,2.3,3.9,3.6,4.8,2.4,4.5,2.5,6.5,4.6,5.5
05/1991,3.7,6.5,4.8,4.6,4.4,2.2,6.2,4.4,4.1,4.1,3.6,5.6,5.9,4.3,4.0,3.6,5.2,2.5,5.4,3.0,7.8,5.3,3.4
05/1992,2.6,7.4,5.8,5.2,5.6,3.3,7.0,4.6,5.1,5.5,3.9,7.1,7.5,5.0,4.2,4.4,5.7,2.7,5.4,3.4,8.4,6.4,5.9
05/1993,2.4,5.7,5.1,6.4,5.0,3.8,6.3,4.5,4.4,4.0,3.7,8.0,6.8,2.5,3.8,4.1,4.1,3.9,5.3,3.1,8.9,7.0,4.5
05/1994,2.6,5.5,4.4,6.3,4.8,3.2,6.9,4.8,4.3,3.0,3.6,5.8,6.5,1.8,3.3,3.8,4.1,2.7,5.0,2.9,8.4,7.1,5.1
05/1995,2.0,5.4,5.0,5.6,5.3,3.8,7.1,4.3,3.8,3.3,3.4,7.4,5.5,2.0,3.9,3.5,4.6,3.2,4.9,3.1,6.9,6.2,5.7
05/1996,1.8,4.8,4.3,4.6,4.4,4.3,6.8,4.7,3.2,3.2,3.2,6.2,6.0,1.6,3.6,2.8,4.2,3.0,6.3,3.6,6.8,5.6,4.4
05/1997,1.9,5.1,4.7,4.0,5.6,4.1,7.5,4.2,3.7,3.9,3.2,6.1,5.4,1.1,3.8,2.9,4.5,2.8,5.6,2.7,6.1,6.1,5.5
05/1998,1.8,6.3,4.5,4.9,4.4,4.6,7.4,4.0,5.0,3.2,3.1,6.1,4.9,2.8,4.2,3.9,4.4,2.9,4.8,2.6,5.4,5.6,4.3
05/1999,1.6,6.5,5.0,4.7,4.4,3.9,7.2,2.9,5.2,2.8,2.9,5.7,5.3,2.6,4.4,3.4,4.4,4.5,5.9,2.8,6.5,7.5,5.0
05/2000,3.2,4.8,2.9,4.0,3.5,3.4,4.6,3.2,3.5,3.5,3.5,3.5,3.7,3.2,3.6,3.4,3.7,2.8,3.6,2.7,3.9,5.0,4.0
05/2001,3.3,4.2,2.5,4.0,3.5,3.2,4.8,3.7,4.0,3.5,3.8,3.3,3.5,3.3,4.1,3.3,3.5,2.7,3.5,2.9,3.3,4.5,3.6
05/2002,3.1,4.9,2.9,4.2,3.6,3.1,4.5,3.7,4.4,3.9,3.9,3.9,3.9,4.7,4.0,3.6,3.5,2.8,3.8,3.4,4.2,5.7,3.8
05/2003,3.1,4.5,3.6,5.2,4.3,3.9,4.9,4.1,3.9,4.3,4.2,4.2,4.2,4.1,4.0,4.7,4.1,3.1,3.8,4.0,4.4,4.3,4.2
05/2004,2.7,4.0,2.9,4.0,3.5,3.5,4.6,3.8,3.5,3.3,4.1,3.6,3.4,3.3,3.7,4.2,3.4,2.4,3.1,3.5,3.5,3.8,3.9
05/2005,2.7,4.1,2.7,3.7,3.5,3.5,4.4,4.0,3.8,3.7,4.0,3.7,3.4,4.1,3.7,3.9,3.7,2.3,2.8,3.4,3.4,3.9,3.9
05/2006,2.5,3.9,2.2,3.4,3.2,2.9,3.9,3.9,3.6,3.0,3.7,3.4,2.8,2.9,3.3,3.6,3.1,1.9,2.5,3.0,2.9,3.4,3.6
05/2007,2.4,3.9,2.1,3.0,2.9,2.7,3.5,3.2,3.4,3.5,3.4,2.7,2.6,2.6,3.0,3.6,2.9,1.6,2.2,2.5,2.6,3.4,3.2
05/2008,2.4,3.6,1.9,2.8,2.5,2.7,3.4,3.1,3.0,3.0,3.4,2.9,2.6,2.9,3.0,3.0,2.8,1.5,2.2,2.8,2.6,3.1,2.9
05/2009,4.2,9.8,5.3,7.9,6.0,6.6,8.2,5.5,6.3,8.4,6.4,8.2,6.7,5.3,6.1,4.9,6.7,5.0,6.7,8.6,7.1,6.2,6.5
05/2010,4.6,6.2,6.5,6.5,5.7,5.3,7.0,5.0,4.8,7.0,6.5,8.7,7.0,4.0,5.8,4.8,7.4,6.1,6.5,9.4,7.2,5.8,4.8
05/2011,4.2,5.7,4.8,6.0,4.6,4.8,6.1,4.7,5.0,5.9,5.8,7.9,5.8,3.6,5.4,4.6,6.5,4.8,5.1,9.3,6.1,5.2,4.2
05/2012,4.1,5.3,4.3,4.8,4.1,4.4,5.4,4.5,4.2,4.9,5.5,7.1,4.8,3.6,5.1,4.4,5.9,4.7,4.6,8.8,5.3,4.9,3.7
05/2013,3.5,4.7,4.2,4.0,3.4,4.2,5.1,4.2,4.5,4.7,4.5,5.4,4.3,3.3,4.7,3.6,5.2,4.5,4.1,6.7,5.1,4.6,3.6
05/2014,3.3,4.3,3.2,4.0,2.8,3.8,4.6,3.6,3.8,4.4,4.1,4.9,3.8,3.1,3.9,3.2,4.2,4.1,3.8,5.9,4.7,4.2,3.1
05/2015,2.9,4.1,3.9,3.5,3.9,3.6,5.4,3.3,3.9,5.0,3.7,4.5,5.0,2.5,4.0,3.4,4.0,5.1,4.8,4.9,5.0,4.2,3.5
05/2016,3.0,4.8,8.7,4.7,6.8,5.3,7.6,3.7,5.0,5.4,4.1,4.8,7.6,3.0,4.4,4.3,4.6,6.9,6.5,4.6,6.1,4.7,6.1
05/2017,2.6,4.1,4.8,3.7,4.0,3.3,5.1,2.6,3.9,3.8,3.4,3.5,5.0,2.5,3.7,3.3,3.4,4.3,4.1,3.7,4.2,4.1,3.7
06/1990,5.7,4.7,5.0,3.8,5.3,2.7,7.0,4.7,4.3,3.6,4.6,5.4,5.8,2.7,3.8,3.9,4.8,2.1,4.5,1.2,6.6,4.5,4.2
06/1991,3.8,6.1,4.6,5.1,4.1,2.7,6.8,4.3,5.0,3.4,3.9,6.0,6.0,3.6,3.5,4.2,4.9,2.0,5.4,1.5,7.3,4.7,3.6
06/1992,2.9,7.1,6.2,5.1,5.5,3.2,8.0,4.7,7.1,4.2,4.2,6.9,7.4,4.7,3.7,4.8,5.6,2.6,6.5,1.3,9.3,6.4,7.0
06/1993,2.8,6.5,5.5,5.7,5.7,3.4,6.9,4.8,5.0,4.0,3.8,6.5,6.6,3.6,3.4,4.5,4.1,3.0,5.9,1.3,7.7,7.6,4.6
06/1994,2.5,6.2,4.5,4.6,4.6,3.7,7.4,4.6,5.1,2.6,3.7,6.5,6.1,2.3,3.1,3.9,4.1,2.6,5.6,1.0,9.0,6.7,4.9
06/1995,2.3,5.7,4.9,4.7,4.9,3.9,7.2,4.6,5.2,3.4,3.5,6.9,5.2,2.6,3.4,4.1,4.1,3.4,5.2,1.1,6.6,7.7,4.3
06/1996,1.9,5.2,4.7,4.7,5.5,4.2,7.1,4.8,4.2,3.0,3.4,6.7,5.9,2.3,3.4,3.6,4.2,3.0,6.7,1.8,7.0,5.9,4.6
06/1997,1.8,5.4,4.8,4.8,6.0,3.8,8.3,4.1,4.4,3.9,3.4,6.0,5.8,1.7,3.7,3.4,4.3,2.5,6.0,1.5,6.1,6.1,4.8
06/1998,2.1,7.4,4.8,5.0,5.3,4.6,7.8,4.2,5.5,3.4,3.5,6.5,5.2,2.5,4.2,4.4,4.5,2.8,5.4,1.3,5.9,6.3,4.9
06/1999,1.7,6.5,5.1,4.3,4.5,4.1,7.7,3.4,5.6,3.0,3.3,6.0,5.7,2.4,3.9,3.8,4.3,3.8,6.4,1.4,7.0,7.4,5.0
06/2000,3.7,4.9,3.1,3.9,3.8,3.4,5.1,3.5,3.6,3.4,3.8,3.6,3.9,3.7,3.5,3.6,3.6,2.9,4.0,2.0,4.2,4.9,4.0
06/2001,3.8,4.8,2.7,4.0,3.8,3.2,5.0,4.1,4.2,3.4,4.2,3.4,3.8,3.3,3.8,4.0,3.7,2.5,4.0,2.2,3.6,4.8,3.9
06/2002,3.5,5.0,2.9,4.1,3.9,3.1,4.8,4.4,4.6,3.8,4.2,4.1,4.0,4.3,3.7,4.2,3.6,2.8,4.2,2.5,4.5,5.0,4.0
06/2003,3.5,4.5,3.7,4.9,4.4,3.8,5.2,4.6,3.8,4.3,4.5,4.1,4.4,4.2,3.7,5.1,4.1,2.9,4.2,2.8,4.6,4.2,4.3
06/2004,3.1,4.3,3.1,4.1,3.8,3.6,4.9,4.1,3.7,3.3,4.4,3.6,3.7,3.3,3.5,4.7,3.6,2.4,3.4,2.7,3.9,3.9,4.0
06/2005,3.2,4.5,2.7,3.9,3.6,3.4,4.8,4.5,3.9,3.6,4.3,3.8,3.7,3.8,3.5,4.6,3.7,2.2,3.1,2.8,3.5,4.2,4.2
06/2006,2.9,3.9,2.2,3.4,3.7,2.6,4.3,4.3,3.4,3.0,4.0,3.1,3.0,3.2,3.0,4.5,3.1,1.9,2.7,2.4,3.0,3.6,3.4
06/2007,2.9,4.0,2.3,3.1,3.0,2.6,4.0,3.8,3.5,3.3,3.8,2.6,2.8,2.6,2.8,4.4,2.9,1.6,2.4,2.1,2.9,3.8,3.4
06/2008,2.8,3.9,2.1,3.0,2.6,2.6,3.9,3.8,3.1,3.1,3.8,3.1,3.0,2.9,2.9,4.0,3.1,1.6,2.4,2.0,2.8,3.2,3.0
06/2009,5.1,9.2,5.7,7.6,6.0,5.8,8.5,5.9,6.7,8.1,6.8,7.9,7.1,5.5,5.8,6.2,6.8,5.1,7.4,5.7,7.4,6.5,7.0
06/2010,4.9,6.1,6.0,6.2,5.5,5.1,6.9,5.3,4.9,6.2,6.6,7.7,6.8,4.5,5.2,5.4,6.8,5.7,6.4,6.0,7.1,5.7,4.6
06/2011,4.5,5.7,4.9,5.5,4.8,4.7,6.1,5.0,5.0,5.5,5.9,6.9,5.9,4.1,4.8,4.9,6.2,4.5,5.3,5.5,6.0,5.3,4.3
06/2012,4.8,5.5,4.9,4.9,4.4,4.5,5.8,4.8,4.5,5.0,5.7,6.4,5.1,4.0,4.8,5.0,6.0,4.9,4.9,5.1,5.6,4.9,4.1
06/2013,4.1,5.0,4.2,3.8,3.6,4.1,5.3,4.5,4.5,4.5,4.6,5.0,4.6,3.6,4.3,4.2,5.0,4.3,4.4,4.0,5.4,4.5,3.5
06/2014,3.9,4.2,3.4,3.8,3.2,3.9,4.8,4.0,4.0,4.1,4.3,4.6,4.1,3.6,3.8,4.0,4.3,4.2,4.1,3.4,4.9,4.3,3.4
06/2015,3.6,4.3,4.4,3.6,4.0,3.5,5.6,3.7,4.2,4.5,4.1,4.4,5.3,3.2,3.8,3.7,3.9,5.1,5.3,3.0,5.5,4.4,3.4
06/2016,3.9,5.2,8.1,4.4,7.1,4.6,7.2,3.6,4.9,4.6,4.4,4.5,7.7,3.4,4.1,5.0,4.5,6.0,6.7,2.5,6.2,4.7,5.7
06/2017,3.2,4.0,5.1,3.6,4.2,3.0,5.4,3.1,3.7,3.7,3.7,3.2,5.1,3.2,3.5,3.5,3.6,3.9,4.5,2.2,4.3,4.1,3.7
07/1990,4.9,4.9,4.4,3.9,5.0,2.6,6.1,3.7,4.3,3.5,4.0,4.8,5.5,1.2,3.2,4.1,4.2,2.1,4.7,1.0,5.4,4.2,3.6
07/1991,3.3,5.6,4.2,4.4,4.4,2.2,6.0,3.9,5.9,3.2,3.5,5.6,6.0,2.6,3.2,4.8,4.6,1.6,5.9,1.0,6.5,4.2,2.9
07/1992,2.4,6.2,5.4,4.9,5.4,2.5,7.0,4.5,5.7,4.1,3.7,5.9,6.9,3.1,3.1,4.9,4.9,2.2,6.1,0.9,7.9,6.2,4.7
07/1993,2.7,6.1,4.7,4.6,5.7,3.0,6.5,4.6,4.7,3.6,3.8,6.7,6.9,3.2,3.0,4.7,3.9,2.7,5.6,1.0,7.6,6.9,3.9
07/1994,2.2,6.2,3.9,4.3,4.3,3.0,6.9,4.0,4.3,2.2,3.5,6.8,5.6,1.7,3.0,4.5,3.7,2.1,5.0,0.9,8.0,6.1,3.5
07/1995,2.1,5.2,4.6,4.4,4.4,3.0,6.7,4.7,4.3,2.8,3.3,6.1,5.0,1.8,3.0,4.0,3.7,2.7,5.2,0.9,6.3,6.5,3.8
07/1996,1.7,5.0,4.1,4.1,5.0,4.2,7.2,5.1,4.4,2.7,3.2,5.9,5.8,1.7,3.1,4.0,3.5,2.7,6.5,1.6,7.2,6.2,4.4
07/1997,1.9,5.1,4.5,3.6,5.4,3.5,7.5,4.0,3.7,3.3,3.1,4.9,5.3,1.8,3.2,3.6,3.7,2.0,5.5,1.2,5.5,5.6,4.3
07/1998,1.9,6.5,4.4,4.2,5.2,4.3,7.1,4.4,3.8,3.2,3.2,5.4,5.0,2.8,3.7,4.9,4.0,2.7,5.0,0.9,5.6,5.6,3.6
07/1999,1.6,6.4,4.4,3.8,4.2,3.4,7.2,3.4,4.6,3.0,3.2,4.9,4.8,1.9,3.5,4.1,3.8,2.8,5.5,1.0,6.4,6.6,4.1
07/2000,3.4,4.9,2.7,3.7,3.5,3.3,4.7,3.5,3.2,3.1,3.4,3.3,3.6,3.4,3.2,3.6,3.3,2.4,3.8,1.5,4.0,4.5,3.7
07/2001,3.3,4.5,2.4,3.5,3.6,2.8,4.7,3.7,3.8,3.1,3.8,3.0,3.5,3.1,3.3,3.6,3.5,2.2,3.8,1.7,3.4,4.4,3.5
07/2002,3.1,4.8,2.6,3.4,3.5,2.7,4.7,4.0,3.7,2.9,3.7,3.3,3.6,3.7,3.2,4.2,3.2,2.2,4.2,1.8,4.2,4.5,3.2
07/2003,3.3,4.2,3.2,4.5,4.0,3.5,4.8,4.1,3.3,3.5,4.1,3.6,4.1,3.6,3.4,4.7,3.9,2.6,3.9,2.2,4.1,3.6,4.1
07/2004,3.0,4.0,2.8,3.7,3.6,3.0,4.6,4.0,3.4,2.5,4.2,3.3,3.4,3.5,3.1,4.7,3.2,2.0,3.0,2.0,3.4,3.4,3.4
07/2005,2.8,4.0,2.5,3.5,3.4,2.8,4.6,4.2,3.7,3.2,3.9,3.6,3.3,4.0,3.1,4.5,3.5,1.9,2.8,2.2,3.0,3.7,3.9
07/2006,2.7,3.6,1.9,2.8,3.3,2.5,4.2,3.8,2.9,2.7,3.7,2.9,2.8,2.8,2.6,4.4,2.8,1.6,2.4,1.8,2.8,3.5,3.1
07/2007,2.6,3.8,2.0,2.8,2.6,2.4,3.7,3.5,3.1,3.0,3.4,2.2,2.7,2.1,2.4,4.3,2.6,1.4,2.2,1.5,2.6,3.3,3.0
07/2008,2.4,3.7,1.8,2.8,2.5,2.4,3.6,3.7,2.7,2.8,3.5,3.0,2.6,2.6,2.5,4.2,2.6,1.4,2.2,1.6,2.7,3.0,2.9
07/2009,4.6,8.4,5.6,7.0,5.7,5.4,8.0,5.7,5.8,7.1,6.3,7.6,7.0,5.0,5.0,5.8,6.3,5.2,7.2,4.8,7.3,6.1,6.4
07/2010,4.5,5.9,5.4,6.0,5.0,4.3,6.2,5.0,4.6,5.9,5.9,7.1,6.2,4.4,4.8,5.3,6.4,4.9,5.9,4.7,6.2,5.1,4.3
07/2011,4.1,5.4,4.6,5.2,4.5,4.5,5.9,4.8,4.7,5.3,5.7,6.5,5.5,3.9,4.2,4.9,6.0,4.0,4.9,4.7,5.8,5.1,4.2
07/2012,4.4,5.5,4.5,4.7,4.0,4.3,5.9,4.6,4.1,4.6,5.4,6.4,4.8,3.9,4.5,4.9,5.8,4.8,4.6,4.2,5.4,4.7,3.8
07/2013,3.8,4.6,4.0,3.6,3.5,3.9,5.5,4.3,4.0,4.3,4.2,4.7,4.2,3.4,4.0,4.4,4.7,4.1,4.1,3.4,4.8,4.3,3.3
07/2014,3.7,4.1,3.1,3.5,3.0,3.6,4.8,3.6,3.8,3.9,3.9,4.3,3.8,3.6,3.5,4.1,4.0,3.8,3.9,2.8,4.5,3.9,3.3
07/2015,3.3,4.2,3.9,3.2,3.5,2.9,5.6,3.2,3.8,4.3,3.7,4.0,4.9,3.4,3.4,3.8,3.7,4.7,4.8,2.3,4.8,4.0,3.1
07/2016,3.4,4.5,7.7,3.9,6.6,4.2,6.9,3.4,4.3,4.5,3.8,3.8,7.1,3.4,3.7,4.6,4.0,5.8,6.2,2.0,5.6,4.5,5.1
07/2017,2.9,3.6,4.6,3.4,4.3,2.7,5.2,3.0,3.5,3.2,3.4,3.0,4.8,2.9,3.2,3.4,3.4,3.6,4.4,1.7,4.1,3.6,3.4
08/1990,5.2,5.1,4.4,3.9,3.8,2.6,6.7,3.5,3.0,2.9,4.3,4.9,5.4,1.5,3.1,4.5,4.5,2.0,4.6,0.9,5.8,4.0,3.4
08/1991,3.1,5.4,4.3,4.5,4.3,2.2,5.8,3.1,4.9,2.8,3.6,5.3,5.8,1.3,3.4,4.1,4.5,1.5,5.9,1.4,6.3,3.7,3.3
08/1992,2.5,5.8,4.9,4.6,5.2,1.8,6.9,3.9,5.2,3.5,3.8,5.8,6.5,3.1,3.0,4.6,5.0,1.8,5.7,1.0,7.6,6.6,3.7
08/1993,2.6,6.0,4.3,4.9,5.1,3.1,6.1,4.5,5.2,3.9,3.7,6.5,6.7,3.4,3.0,4.5,4.0,2.6,5.7,1.0,7.1,6.4,3.3
08/1994,2.2,6.2,3.8,3.7,4.1,3.1,6.5,4.0,4.4,1.9,3.5,5.9,5.4,1.7,2.8,5.1,3.7,1.8,4.4,0.7,7.2,5.5,3.7
08/1995,2.1,5.0,4.4,4.1,4.3,3.2,6.9,4.4,3.6,2.8,3.4,5.6,5.1,1.9,3.0,4.0,3.7,2.2,5.0,1.0,6.0,6.3,3.5
08/1996,1.8,4.8,4.1,3.8,5.1,3.8,7.1,4.8,4.3,2.8,3.1,5.2,5.8,1.6,3.3,3.6,3.5,2.5,6.1,1.3,6.9,6.1,4.4
08/1997,1.8,4.5,4.2,3.3,5.1,3.5,7.4,4.2,3.6,2.9,3.1,4.6,5.1,1.5,2.8,3.2,3.7,1.8,5.3,1.2,5.0,5.0,3.8
08/1998,1.9,5.9,4.2,4.1,4.7,3.9,7.3,4.3,3.8,3.2,3.2,4.6,5.0,2.6,3.6,4.4,4.0,2.9,4.7,0.8,5.5,6.2,4.4
08/1999,1.7,5.6,4.3,3.7,4.1,3.3,6.9,3.4,3.7,2.9,3.2,4.4,4.8,2.7,3.3,4.2,3.6,2.7,5.3,1.1,6.0,6.0,4.1
08/2000,3.2,4.7,2.7,3.7,3.4,2.9,4.9,3.6,3.1,3.0,3.4,2.9,3.7,3.2,3.1,3.8,3.3,2.5,3.9,1.6,3.8,4.3,3.6
08/2001,3.4,4.0,2.3,3.6,3.3,2.6,4.3,3.7,3.5,2.9,3.8,2.9,3.4,3.3,3.3,3.6,3.3,2.2,3.6,1.7,3.5,4.1,3.5
08/2002,3.0,4.8,2.7,3.4,3.6,2.5,4.4,4.0,3.6,3.0,3.6,3.3,3.6,3.5,3.2,4.2,3.3,2.3,3.6,1.9,3.5,4.2,3.2
08/2003,3.3,4.0,3.1,4.2,3.9,3.0,4.6,4.2,3.3,3.5,4.1,3.2,4.1,3.5,3.1,4.6,3.7,2.5,3.4,2.4,3.6,3.6,3.7
08/2004,2.8,4.2,2.8,3.6,3.7,2.9,4.4,3.9,3.2,2.6,4.1,3.3,3.2,3.2,3.1,4.4,3.2,2.1,2.9,2.0,3.3,3.6,3.3
08/2005,2.8,4.0,2.4,3.4,3.4,2.8,4.3,4.2,3.5,3.0,3.8,3.6,3.2,3.3,3.2,4.7,3.3,1.8,2.7,2.1,2.8,3.5,3.7
08/2006,2.6,3.5,1.9,2.8,3.1,2.4,4.0,3.6,2.9,2.8,3.7,2.9,2.8,2.7,2.7,4.0,2.7,1.5,2.2,1.7,2.7,3.2,3.2
08/2007,2.3,3.4,1.9,2.7,2.7,2.6,3.5,3.2,2.9,2.9,3.2,1.9,2.4,2.1,2.3,4.1,2.4,1.2,2.1,1.4,2.5,3.9,3.0
08/2008,2.5,3.5,1.8,2.9,2.5,2.3,3.5,3.5,2.8,2.8,3.5,2.9,2.6,2.6,2.5,3.9,2.5,1.4,2.1,1.7,2.6,2.8,3.0
08/2009,4.4,7.7,5.6,6.9,5.8,5.3,7.6,5.2,5.5,7.1,6.1,7.0,7.1,4.4,4.8,5.6,6.4,4.8,6.8,4.5,7.1,6.2,5.9
08/2010,4.4,5.6,5.1,6.0,5.0,4.1,6.0,4.9,4.6,5.7,5.9,6.8,6.4,4.2,4.7,5.5,6.1,4.9,5.8,4.6,6.0,5.1,4.1
08/2011,4.2,5.4,4.5,5.0,4.4,4.3,5.6,4.5,4.6,5.0,5.6,6.4,5.4,4.1,4.3,4.9,5.9,3.8,4.7,4.4,5.6,4.9,3.9
08/2012,4.3,5.2,4.5,4.5,4.0,4.4,5.6,4.6,4.4,4.4,5.3,5.9,4.8,3.5,4.5,4.8,5.4,4.8,4.4,4.1,5.4,4.6,3.6
08/2013,3.7,4.3,3.8,3.8,3.2,3.5,5.1,3.9,3.9,4.1,4.2,4.4,4.1,3.4,3.8,4.2,4.4,3.8,3.9,3.2,4.6,4.1,2.9
08/2014,3.5,3.7,3.0,3.5,2.8,3.2,4.3,3.4,3.8,3.6,4.0,4.1,3.7,3.5,3.5,3.6,3.8,3.4,3.8,2.7,4.4,3.6,3.0
08/2015,3.3,4.0,3.8,2.8,3.6,2.6,5.2,3.0,3.8,4.1,3.7,3.9,4.9,3.4,3.3,3.8,3.7,4.6,4.5,2.1,4.7,3.7,3.1
