Date,WTI
01/1986,22.925454545454542
02/1986,15.454736842105266
03/1986,12.612499999999999
04/1986,12.843636363636364
05/1986,15.377619047619048
06/1986,13.425714285714285
07/1986,11.584545454545454
08/1986,15.096666666666666
09/1986,14.866666666666669
10/1986,14.89681818181818
11/1986,15.22157894736842
12/1986,16.10761904761905
01/1987,18.65142857142857
02/1987,17.74894736842105
03/1987,18.302857142857142
04/1987,18.677142857142854
05/1987,19.441190476190474
06/1987,20.073181818181812
07/1987,21.34217391304348
08/1987,20.310952380952383
09/1987,19.53
10/1987,19.85909090909091
11/1987,18.843333333333334
12/1987,17.274545454545454
01/1988,17.1295
02/1988,16.795714285714286
03/1988,16.197391304347825
04/1988,17.862500000000004
05/1988,17.423636363636366
06/1988,16.527727272727272
07/1988,15.474523809523808
08/1988,15.523478260869567
09/1988,14.535454545454547
10/1988,13.770476190476193
11/1988,14.14136363636364
12/1988,16.382380952380952
01/1989,18.024285714285714
02/1989,17.936500000000002
03/1989,19.48409090909091
04/1989,21.068999999999996
05/1989,20.123478260869565
06/1989,20.050454545454546
07/1989,19.78142857142857
08/1989,18.577826086956517
09/1989,19.591428571428573
10/1989,20.097727272727276
11/1989,19.855909090909087
12/1989,21.1
01/1990,22.863181818181825
02/1990,22.112999999999996
03/1990,20.387727272727275
04/1990,18.425500000000003
05/1990,18.199545454545454
06/1990,16.695238095238093
07/1990,18.454090909090905
08/1990,27.307391304347828
09/1990,33.5075
10/1990,36.0395652173913
11/1990,32.33227272727272
12/1990,27.281
01/1991,25.234090909090913
02/1991,20.477500000000003
03/1991,19.901499999999995
04/1991,20.830000000000002
05/1991,21.23227272727273
06/1991,20.189000000000004
07/1991,21.403043478260873
08/1991,21.69363636363636
09/1991,21.905238095238097
10/1991,23.23086956521739
11/1991,22.460952380952385
12/1991,19.49809523809524
01/1992,18.78545454545455
02/1992,19.0125
03/1992,18.921818181818185
04/1992,20.230000000000004
05/1992,20.9755
06/1992,22.384545454545457
07/1992,21.77521739130435
08/1992,21.33904761904762
09/1992,21.881363636363634
10/1992,21.68590909090909
11/1992,20.336190476190477
12/1992,19.41409090909091
01/1993,19.032
02/1993,20.06973684210526
03/1993,20.322173913043482
04/1993,20.26047619047619
05/1993,19.949500000000004
06/1993,19.09409090909091
07/1993,17.900000000000002
08/1993,18.010909090909088
09/1993,17.500909090909087
10/1993,18.153333333333336
11/1993,16.564545454545456
12/1993,14.497826086956522
01/1994,15.026666666666667
02/1994,14.754250000000003
03/1994,14.68086956521739
04/1994,16.42
05/1994,17.889047619047616
06/1994,19.06
07/1994,19.65047619047619
08/1994,18.383478260869566
09/1994,17.451363636363638
10/1994,17.716190476190473
11/1994,18.069999999999997
12/1994,17.159523809523808
01/1995,18.039523809523807
02/1995,18.586499999999994
03/1995,18.53913043478261
04/1995,19.896315789473686
05/1995,19.74181818181818
06/1995,18.44590909090909
07/1995,17.322857142857146
08/1995,18.020869565217396
09/1995,18.228333333333335
10/1995,17.433181818181822
11/1995,18.00681818181818
12/1995,19.026500000000002
01/1996,18.854545454545452
02/1996,19.142142857142854
03/1996,21.33238095238095
04/1996,23.497142857142858
05/1996,21.16545454545454
06/1996,20.423500000000004
07/1996,21.311521739130434
08/1996,21.903181818181817
09/1996,23.91571428571429
10/1996,24.87913043478261
11/1996,23.7047619047619
12/1996,25.22857142857143
01/1997,25.13181818181818
02/1997,22.189999999999998
03/1997,20.94404761904762
04/1997,19.695454545454545
05/1997,20.81904761904762
06/1997,19.259999999999998
07/1997,19.66363636363636
08/1997,19.95285714285714
09/1997,19.80333333333333
10/1997,21.325217391304353
11/1997,20.069
12/1997,18.332727272727272
01/1998,16.711190476190474
02/1998,16.048750000000002
03/1998,15.115454545454543
04/1998,15.353809523809522
05/1998,14.914000000000001
06/1998,13.72181818181818
07/1998,14.174999999999999
08/1998,13.471904761904764
09/1998,15.00568181818182
10/1998,14.460909090909091
11/1998,12.822380952380952
12/1998,11.347272727272726
01/1999,12.497499999999999
02/1999,12.013684210526316
03/1999,14.676521739130438
04/1999,17.312380952380952
05/1999,17.7185
06/1999,17.92318181818182
07/1999,20.10333333333333
08/1999,21.278636363636366
09/1999,23.728181818181817
10/1999,22.691428571428577
11/1999,25.103181818181824
12/1999,26.10238095238095
01/2000,27.32125
02/2000,29.37571428571429
03/2000,29.84173913043479
04/2000,25.7221052631579
05/2000,28.788181818181815
06/2000,31.822272727272722
07/2000,29.878095238095234
08/2000,31.263913043478258
09/2000,33.87380952380953
10/2000,33.108636363636364
11/2000,34.49181818181818
12/2000,28.436500000000002
01/2001,29.610454545454544
02/2001,29.5745
03/2001,27.244545454545456
04/2001,27.551428571428566
05/2001,28.62909090909091
06/2001,27.599047619047617
07/2001,26.43613636363636
08/2001,27.37391304347826
09/2001,26.229249999999997
10/2001,22.169565217391305
11/2001,19.534999999999997
12/2001,19.435
01/2002,19.645454545454548
02/2002,20.7435
03/2002,24.62547619047619
04/2002,26.179090909090917
05/2002,26.99108695652174
06/2002,25.5185
07/2002,26.92391304347826
08/2002,28.385000000000005
09/2002,29.601666666666667
10/2002,28.836521739130436
11/2002,26.420476190476194
12/2002,29.460952380952378
01/2003,33.00636363636363
02/2003,35.87425
03/2003,33.513333333333335
04/2003,28.273181818181822
05/2003,28.17136363636363
06/2003,30.662380952380946
07/2003,30.731956521739132
08/2003,31.573809523809516
09/2003,28.418409090909098
10/2003,30.33826086956522
11/2003,31.008499999999998
12/2003,32.12904761904762
01/2004,34.31833333333333
02/2004,34.691500000000005
03/2004,36.74130434782607
04/2004,36.782500000000006
05/2004,40.315
06/2004,38.024772727272726
07/2004,40.69568181818183
08/2004,44.90318181818182
09/2004,45.82772727272727
10/2004,53.280476190476186
11/2004,48.55590909090909
12/2004,43.07065217391304
01/2005,46.91309523809523
02/2005,48.22775
03/2005,54.186818181818175
04/2005,52.97904761904763
05/2005,49.92613636363635
06/2005,56.35227272727273
07/2005,59.015238095238104
08/2005,64.98521739130435
09/2005,65.62227272727273
10/2005,62.25999999999998
11/2005,58.279999999999994
12/2005,59.35318181818181
01/2006,65.46714285714283
02/2006,61.57375
03/2006,62.685217391304356
04/2006,69.44368421052631
05/2006,70.87695652173912
06/2006,70.95090909090911
07/2006,74.42619047619047
08/2006,73.04304347826088
09/2006,64.04428571428573
10/2006,58.89318181818181
11/2006,59.05590909090909
12/2006,61.95899999999999
01/2007,54.50619047619048
02/2007,59.27894736842105
03/2007,60.441818181818185
04/2007,63.977
05/2007,63.45454545454545
06/2007,67.48904761904761
07/2007,74.11761904761904
08/2007,72.35608695652174
09/2007,79.91473684210524
10/2007,85.7986956521739
11/2007,94.77238095238096
12/2007,91.68700000000001
01/2008,92.9704761904762
02/2008,95.38599999999998
03/2008,105.454
04/2008,112.58045454545453
05/2008,125.39761904761905
06/2008,133.88
07/2008,133.3709090909091
08/2008,116.6661904761905
09/2008,104.1142857142857
10/2008,76.6086956521739
11/2008,57.30947368421052
12/2008,41.12181818181818
01/2009,41.71
02/2009,39.08736842105263
03/2009,47.939090909090915
04/2009,49.64666666666666
05/2009,59.028499999999994
06/2009,69.64090909090909
07/2009,64.15227272727273
08/2009,71.0447619047619
09/2009,69.40809523809524
10/2009,75.71545454545452
11/2009,77.99
12/2009,74.47
01/2010,78.32578947368421
02/2010,76.38736842105264
03/2010,81.20347826086957
04/2010,84.29285714285714
05/2010,73.7435
06/2010,75.3359090909091
07/2010,76.3195238095238
08/2010,76.59909090909092
09/2010,75.24190476190476
10/2010,81.89285714285715
11/2010,84.25285714285714
12/2010,89.14590909090909
01/2011,89.1705
02/2011,88.57842105263157
03/2011,102.85652173913044
04/2011,109.5325
05/2011,100.90047619047618
06/2011,96.26409090909092
07/2011,97.3035
08/2011,86.33304347826086
09/2011,85.51523809523812
10/2011,86.32238095238095
11/2011,97.16047619047619
12/2011,98.56285714285715
01/2012,100.2735
02/2012,102.204
03/2012,106.15772727272726
04/2012,103.321
05/2012,94.65454545454546
06/2012,82.30333333333331
07/2012,87.89523809523807
08/2012,94.13130434782609
09/2012,94.51368421052634
10/2012,89.49130434782607
11/2012,86.53142857142856
12/2012,87.85950000000001
01/2013,94.75666666666666
02/2013,95.30894736842104
03/2013,92.9385
04/2013,92.02136363636363
05/2013,94.50954545454546
06/2013,95.7725
07/2013,104.67090909090908
08/2013,106.57272727272729
09/2013,106.2895
10/2013,100.53826086956522
11/2013,93.86399999999998
12/2013,97.6252380952381
01/2014,94.59977272727271
02/2014,100.81736842105265
03/2014,100.80380952380953
04/2014,102.06904761904761
05/2014,102.30068181818183
06/2014,105.79428571428573
07/2014,103.58863636363635
08/2014,96.53619047619047
09/2014,93.21190476190475
10/2014,84.39695652173911
11/2014,75.78947368421052
12/2014,59.29045454545455
01/2015,47.219
02/2015,50.7105
03/2015,47.82363636363636
04/2015,54.452857142857134
05/2015,59.265
06/2015,59.81954545454544
07/2015,51.06630434782608
08/2015,42.86761904761905
09/2015,45.50181818181818
10/2015,46.22363636363636
11/2015,42.3697619047619
12/2015,37.18863636363636
01/2016,31.547000000000004
02/2016,30.323
03/2016,37.54636363636364
04/2016,40.755238095238084
05/2016,46.71238095238095
06/2016,48.75727272727272
07/2016,44.80499999999999
08/2016,44.72434782608696
09/2016,45.15681818181819
10/2016,49.775238095238095
11/2016,45.70909090909091
12/2016,51.9704761904762
01/2017,52.49928571428572
02/2017,53.480749999999986
03/2017,49.32782608695651
04/2017,51.06052631578948
05/2017,48.5254347826087
06/2017,45.177727272727275
07/2017,46.529047619047624
08/2017,48.036956521739135
09/2017,49.73404761904763
10/2017,51.577727272727266
11/2017,56.71909090909091
12/2017,57.881499999999996
01/2018,63.71318181818182
02/2018,62.21300000000001
03/2018,62.7247619047619
04/2018,65.67625
